full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,77987,77987,6380,72,72,9,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,75997,75997,9491,317,317,31,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,27066,27066,4776,203,203,24,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29658,29658,2281,12,12,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22926,22926,2187,14,14,2,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,28213,28213,1853,65,65,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6277,6277,1553,4,4,1,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,13847,13847,1536,47,47,7,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,16174,16174,1455,249,249,12,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9243,9243,1194,1,1,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7837,7837,564,3,3,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5863,5863,810,8,8,1,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3712,3712,546,2,2,2,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5516,5516,472,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3222,3222,426,0,0,1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3298,3298,574,1,1,0,https://github.com/disler/claude-code-hooks-mastery
ykdojo/claude-code-tips,4517,4517,317,5,5,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,633,633,1119,2,2,6,https://github.com/pedrohcgs/claude-code-my-workflow
zebbern/claude-code-guide,3601,3601,335,7,7,1,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5291,5291,198,1,1,-1,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,6948,6948,339,4,4,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2194,2194,365,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,93532,93532,10022,140,140,30,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2160,2160,310,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,22910,22910,5452,112,112,135,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2477,2477,261,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3787,3787,313,6,6,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2073,2073,266,12,12,2,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,606,606,590,0,0,0,https://github.com/anthropics/claude-code-base-action
edmund-io/edmunds-claude-code,1325,1325,271,3,3,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,16460,16460,2665,44,44,5,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,450,450,609,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
wshobson/agents,31244,31244,3426,14,14,2,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3525,3525,246,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
ding113/claude-code-hub,1842,1842,224,3,3,0,https://github.com/ding113/claude-code-hub
eyaltoledano/claude-task-master,25923,25923,2450,1,1,-2,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12886,12886,1368,16,16,7,https://github.com/snarktank/ralph
siteboon/claudecodeui,8426,8426,1080,6,6,0,https://github.com/siteboon/claudecodeui
sickn33/antigravity-awesome-skills,24350,24350,4189,63,63,8,https://github.com/sickn33/antigravity-awesome-skills
EveryInc/compound-engineering-plugin,10391,10391,826,8,8,2,https://github.com/EveryInc/compound-engineering-plugin
obra/superpowers,83597,83597,6524,576,576,46,https://github.com/obra/superpowers
feiskyer/claude-code-settings,1303,1303,193,2,2,0,https://github.com/feiskyer/claude-code-settings
FlorianBruniaux/claude-code-ultimate-guide,1513,1513,253,26,26,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
sugyan/claude-code-webui,962,962,222,1,1,1,https://github.com/sugyan/claude-code-webui
carlvellotti/claude-code-pm-course,1622,1622,242,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,860,860,421,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1464,1464,234,1,1,0,https://github.com/lst97/claude-code-sub-agents
github/spec-kit,76820,76820,6536,62,62,1,https://github.com/github/spec-kit
nishimoto265/Claude-Code-Communication,495,495,239,1,1,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,592,592,53,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
zhukunpenglinyutong/idea-claude-code-gui,1730,1730,205,12,12,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
centminmod/my-claude-code-setup,1969,1969,183,-1,-1,0,https://github.com/centminmod/my-claude-code-setup
bfly123/claude_code_bridge,1588,1588,143,0,0,0,https://github.com/bfly123/claude_code_bridge
rizethereum/claude-code-requirements-builder,1754,1754,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,15174,15174,1181,9,9,2,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1428,1428,181,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,1004,1004,154,0,0,0,https://github.com/andrepimenta/claude-code-chat
steipete/claude-code-mcp,1173,1173,143,1,1,1,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1267,1267,352,2,2,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
trailofbits/claude-code-config,1594,1594,120,5,5,0,https://github.com/trailofbits/claude-code-config
anthropics/claude-plugins-official,11356,11356,1109,200,200,5,https://github.com/anthropics/claude-plugins-official
catlog22/Claude-Code-Workflow,1474,1474,123,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,28160,28160,1705,36,36,3,https://github.com/farion1231/cc-switch
JessyTsui/Claude-Code-Remote,1161,1161,124,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1128,1128,128,0,0,0,https://github.com/simonw/claude-code-transcripts
jeremylongshore/claude-code-plugins-plus-skills,1613,1613,195,3,3,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
peterkrueck/Claude-Code-Development-Kit,1326,1326,151,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
0xfurai/claude-code-subagents,773,773,142,0,0,0,https://github.com/0xfurai/claude-code-subagents
pchalasani/claude-code-tools,1578,1578,100,0,0,0,https://github.com/pchalasani/claude-code-tools
jarrodwatts/claude-code-config,981,981,122,1,1,0,https://github.com/jarrodwatts/claude-code-config
winfunc/opcode,20929,20929,1611,4,4,-1,https://github.com/winfunc/opcode
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1969,1969,316,3,3,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
alirezarezvani/claude-code-tresor,617,617,141,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,968,968,111,2,2,0,https://github.com/d-kimuson/claude-code-viewer
revfactory/claude-code-mastering,761,761,124,0,0,0,https://github.com/revfactory/claude-code-mastering
Alishahryar1/free-claude-code,943,943,112,2,2,-1,https://github.com/Alishahryar1/free-claude-code
wasabeef/claude-code-cookbook,1038,1038,110,1,1,-1,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,44104,44104,4441,88,88,12,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1701,1701,262,1,1,0,https://github.com/anthropics/claude-agent-sdk-demos
cixingguangming55555/wechat-bot,2534,2534,664,0,0,0,https://github.com/cixingguangming55555/wechat-bot
OthmanAdi/planning-with-files,16066,16066,1477,13,13,0,https://github.com/OthmanAdi/planning-with-files
alirezarezvani/claude-skills,5123,5123,584,61,61,8,https://github.com/alirezarezvani/claude-skills
code-yeongyu/oh-my-openagent,40003,40003,3020,34,34,5,https://github.com/code-yeongyu/oh-my-openagent
rohitg00/awesome-claude-code-toolkit,803,803,136,2,2,1,https://github.com/rohitg00/awesome-claude-code-toolkit
Yeachan-Heo/oh-my-claudecode,9747,9747,680,16,16,-1,https://github.com/Yeachan-Heo/oh-my-claudecode
ericbuess/claude-code-docs,732,732,104,1,1,0,https://github.com/ericbuess/claude-code-docs
numman-ali/openskills,9014,9014,576,7,7,1,https://github.com/numman-ali/openskills
severity1/claude-code-prompt-improver,1267,1267,108,4,4,1,https://github.com/severity1/claude-code-prompt-improver
